station,channel,start,end
DAS,,2021-11-20 00:00:37.000,2021-11-21 10:09:37.000
DAS,,2021-11-21 10:09:38.000,2021-11-21 10:31:37.000
DAS,,2021-11-21 10:31:38.000,2021-11-21 10:41:37.000
DAS,,2021-11-21 10:41:38.000,2021-11-21 11:00:37.000
DAS,,2021-11-21 11:00:38.000,2021-11-21 11:03:37.000
DAS,,2021-11-21 11:03:38.000,2021-11-21 11:09:37.000
DAS,,2021-11-21 11:09:38.000,2021-11-21 11:15:37.000
DAS,,2021-11-21 11:15:38.000,2021-11-21 11:20:37.000
DAS,,2021-11-21 11:20:38.000,2021-11-21 11:26:37.000
DAS,,2021-11-21 11:26:38.000,2021-11-21 11:28:37.000
DAS,,2021-11-21 11:28:38.000,2021-11-21 11:32:37.000
DAS,,2021-11-21 11:32:38.000,2021-11-21 11:37:37.000
DAS,,2021-11-21 11:37:38.000,2021-11-21 11:41:37.000
DAS,,2021-11-21 11:41:38.000,2021-11-21 11:46:37.000
DAS,,2021-11-21 11:46:38.000,2021-11-21 11:52:37.000
DAS,,2021-11-21 11:52:38.000,2021-11-21 11:54:37.000
DAS,,2021-11-21 11:54:38.000,2021-11-21 11:57:37.000
DAS,,2021-11-21 11:57:38.000,2021-11-21 11:59:37.000
DAS,,2021-11-21 11:59:38.000,2021-11-21 12:02:37.000
DAS,,2021-11-21 12:02:38.000,2021-11-21 12:04:37.000
DAS,,2021-11-21 12:04:38.000,2021-11-21 12:08:37.000
DAS,,2021-11-21 12:08:38.000,2021-11-21 12:14:37.000
DAS,,2021-11-21 12:14:38.000,2021-11-21 12:20:37.000
DAS,,2021-11-21 12:20:38.000,2021-11-21 12:23:37.000
DAS,,2021-11-21 12:23:38.000,2021-11-21 12:28:37.000
DAS,,2021-11-21 12:28:38.000,2021-11-21 12:34:37.000
DAS,,2021-11-21 12:34:38.000,2021-11-21 12:41:37.000
DAS,,2021-11-21 12:41:38.000,2021-11-21 12:44:37.000
DAS,,2021-11-21 12:44:38.000,2021-11-21 12:46:37.000
DAS,,2021-11-21 12:46:38.000,2021-11-21 12:49:37.000
DAS,,2021-11-21 12:49:38.000,2021-11-21 12:54:37.000
DAS,,2021-11-21 12:54:38.000,2021-11-21 12:57:37.000
DAS,,2021-11-21 12:57:38.000,2021-11-21 13:01:37.000
DAS,,2021-11-21 13:01:38.000,2021-11-21 13:07:37.000
DAS,,2021-11-21 13:07:38.000,2021-11-21 13:11:37.000
DAS,,2021-11-21 13:11:38.000,2021-11-21 13:13:37.000
DAS,,2021-11-21 13:13:38.000,2021-11-21 13:15:37.000
DAS,,2021-11-21 13:15:38.000,2021-11-21 13:26:37.000
DAS,,2021-11-21 13:26:38.000,2021-11-21 13:28:37.000
DAS,,2021-11-21 13:28:38.000,2021-11-21 13:30:37.000
DAS,,2021-11-21 13:30:38.000,2021-11-21 13:33:37.000
DAS,,2021-11-21 13:33:38.000,2021-11-21 13:42:37.000
DAS,,2021-11-21 13:42:38.000,2021-11-21 13:49:37.000
DAS,,2021-11-21 13:49:38.000,2021-11-21 13:51:37.000
DAS,,2021-11-21 13:51:38.000,2021-11-21 13:55:37.000
DAS,,2021-11-21 13:55:38.000,2021-11-21 13:57:37.000
DAS,,2021-11-21 13:57:38.000,2021-11-21 13:59:37.000
DAS,,2021-11-21 13:59:38.000,2021-11-21 14:04:37.000
DAS,,2021-11-21 14:04:38.000,2021-11-21 14:07:37.000
DAS,,2021-11-21 14:07:38.000,2021-11-21 14:11:37.000
DAS,,2021-11-21 14:11:38.000,2021-11-21 14:16:37.000
DAS,,2021-11-21 14:16:38.000,2021-11-21 14:21:37.000
DAS,,2021-11-21 14:21:38.000,2021-11-21 14:24:37.000
DAS,,2021-11-21 14:24:38.000,2021-11-21 14:29:37.000
DAS,,2021-11-21 14:29:38.000,2021-11-21 14:31:37.000
DAS,,2021-11-21 14:31:38.000,2021-11-21 14:37:37.000
DAS,,2021-11-21 14:37:38.000,2021-11-21 14:39:37.000
DAS,,2021-11-21 14:39:38.000,2021-11-21 14:42:37.000
DAS,,2021-11-21 14:42:38.000,2021-11-21 14:44:37.000
DAS,,2021-11-21 14:44:38.000,2021-11-21 14:49:37.000
DAS,,2021-11-21 14:49:38.000,2021-11-21 14:52:37.000
DAS,,2021-11-21 14:52:38.000,2021-11-21 14:58:37.000
DAS,,2021-11-21 14:58:38.000,2021-11-21 15:01:37.000
DAS,,2021-11-21 15:01:38.000,2021-11-21 15:10:37.000
DAS,,2021-11-21 15:10:38.000,2021-11-21 15:12:37.000
DAS,,2021-11-21 15:12:38.000,2021-11-21 15:31:37.000
DAS,,2021-11-21 15:31:38.000,2021-11-21 15:39:37.000
DAS,,2021-11-21 15:39:38.000,2021-11-21 15:44:37.000
DAS,,2021-11-21 15:44:38.000,2021-11-21 16:04:37.000
DAS,,2021-11-21 16:04:38.000,2021-11-21 16:19:37.000
DAS,,2021-11-21 16:19:38.000,2021-11-22 13:03:38.000
DAS,,2021-11-22 23:24:30.000,2021-11-25 12:49:30.000
DAS,,2021-11-25 12:50:30.000,2021-11-27 23:59:30.000
PLPI,HHE,2021-01-15 11:32:21.760,2021-01-15 11:32:50.470
PLPI,HHE,2021-01-15 11:33:14.350,2021-01-16 00:00:01.170
PLPI,HHN,2021-01-15 11:32:23.820,2021-01-15 11:32:50.470
PLPI,HHN,2021-01-15 11:33:14.350,2021-01-16 00:00:01.970
PLPI,HHZ,2021-01-15 11:32:23.820,2021-01-15 11:32:50.470
PLPI,HHZ,2021-01-15 11:33:14.350,2021-01-16 00:00:02.430
PLPI,HHE,2021-01-16 00:00:01.180,2021-01-17 00:00:00.350
PLPI,HHN,2021-01-16 00:00:01.980,2021-01-17 00:00:01.710
PLPI,HHZ,2021-01-16 00:00:02.440,2021-01-17 00:00:00.370
PLPI,HHE,2021-01-17 00:00:00.360,2021-01-18 00:00:01.590
PLPI,HHN,2021-01-17 00:00:01.720,2021-01-18 00:00:02.710
PLPI,HHZ,2021-01-17 00:00:00.380,2021-01-18 00:00:03.010
PLPI,HHE,2021-01-18 00:00:01.600,2021-01-19 00:00:00.180
PLPI,HHN,2021-01-18 00:00:02.720,2021-01-19 00:00:01.070
PLPI,HHZ,2021-01-18 00:00:03.020,2021-01-19 00:00:01.370
PLPI,HHE,2021-01-19 00:00:00.190,2021-01-20 00:00:00.660
PLPI,HHN,2021-01-19 00:00:01.080,2021-01-20 00:00:01.810
PLPI,HHZ,2021-01-19 00:00:01.380,2021-01-20 00:00:02.130
PLPI,HHE,2021-01-20 00:00:00.670,2021-01-20 00:46:59.680
PLPI,HHN,2021-01-20 00:00:01.820,2021-01-20 00:47:01.450
PLPI,HHZ,2021-01-20 00:00:02.140,2021-01-20 00:47:00.570
PLPI,HHE,2021-01-26 11:40:46.480,2021-01-26 11:41:03.430
PLPI,HHE,2021-01-26 11:41:12.980,2021-01-27 00:00:01.280
PLPI,HHN,2021-01-26 11:40:46.480,2021-01-26 11:41:03.430
PLPI,HHN,2021-01-26 11:41:12.980,2021-01-27 00:00:01.520
PLPI,HHZ,2021-01-26 11:40:46.480,2021-01-26 11:41:03.430
PLPI,HHZ,2021-01-26 11:41:12.980,2021-01-27 00:00:01.160
PLPI,HHE,2021-01-27 00:00:01.290,2021-01-27 16:58:04.570
PLPI,HHE,2021-01-27 17:14:18.650,2021-01-27 17:15:05.470
