network,sensor,channel,start_time,end_time,server,path,filename
C7,PFUE,HHE,2017-10-11T00:00:00Z,2017-10-12T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.284
C7,PFUE,HHE,2017-10-12T00:00:00Z,2017-10-13T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.285
C7,PFUE,HHE,2017-10-13T00:00:00Z,2017-10-14T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.286
C7,PFUE,HHE,2017-10-14T00:00:00Z,2017-10-15T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.287
C7,PFUE,HHE,2017-10-15T00:00:00Z,2017-10-16T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.288
C7,PFUE,HHE,2017-10-16T00:00:00Z,2017-10-17T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.289
C7,PFUE,HHE,2017-10-17T00:00:00Z,2017-10-18T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.290
C7,PFUE,HHE,2017-10-18T00:00:00Z,2017-10-19T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.291
C7,PFUE,HHE,2017-10-19T00:00:00Z,2017-10-20T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.292
C7,PFUE,HHE,2017-10-20T00:00:00Z,2017-10-21T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.293
C7,PFUE,HHE,2017-10-21T00:00:00Z,2017-10-22T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.294
C7,PFUE,HHE,2017-10-22T00:00:00Z,2017-10-23T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.295
C7,PFUE,HHE,2017-10-23T00:00:00Z,2017-10-24T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.296
C7,PFUE,HHE,2017-10-24T00:00:00Z,2017-10-25T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.297
C7,PFUE,HHE,2017-10-25T00:00:00Z,2017-10-26T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.298
C7,PFUE,HHE,2017-10-26T00:00:00Z,2017-10-27T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.299
C7,PFUE,HHE,2017-10-27T00:00:00Z,2017-10-28T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.300
C7,PFUE,HHE,2017-10-28T00:00:00Z,2017-10-29T00:00:00Z,193.147.109.7,/involcan/mseed/2017/C7/PFUE/HHE.D,C7.PFUE..HHE.D.2017.301
