network,sensor,channel,gap_start,gap_end,delta,n_samples,gap_type
C7,PA00,HHE,2021-09-16 14:42:52.22,2021-09-18 15:23:52.37,175260.14,17526014,empty
C7,PA00,HHN,2021-09-16 14:42:52.22,2021-09-18 15:23:52.67,175260.44,17526044,empty
C7,PPMA,HHE,2021-09-06 11:53:10.40,2021-09-06 14:07:03.94,8033.53,803353,empty
C7,PPMA,HHE,2021-09-10 22:33:39.54,2021-09-11 23:37:40.11,90240.56,9024056,empty
C7,PPMA,HHE,2021-09-21 10:27:32.50,2021-09-21 10:27:33.44,-1.4,-140,overlap
C7,PPMA,HHE,2021-01-11 08:13:30.96,2021-01-11 08:13:34.0,3.03,303,empty
C7,PPMA,HHE,2021-01-12 21:09:01.15,2021-01-12 21:09:03.0,1.84,184,empty
C7,PPMA,HHE,2021-01-15 08:06:03.89,2021-01-15 08:06:04.0,0.1,10,empty
C7,PPMA,HHE,2021-01-17 08:06:58.77,2021-01-17 09:07:18.15,3619.37,361937,empty
C7,PPMA,HHE,2021-01-19 08:08:09.0,2021-01-19 08:08:11.41,-2.42,-242,overlap
C7,PPMA,HHE,2021-01-21 08:14:11.0,2021-01-21 08:14:11.26,-0.27,-27,overlap
C7,PPMA,HHE,2021-01-23 08:11:11.0,2021-01-23 08:11:11.97,-0.98,-98,overlap
C7,PPMA,HHE,2021-01-25 08:06:18.67,2021-01-25 08:06:20.0,1.32,132,empty
C7,PPMA,HHE,2021-01-27 08:12:27.0,2021-01-27 08:12:29.89,-2.9,-290,overlap
C7,PPMA,HHE,2021-01-29 08:08:31.26,2021-01-29 08:08:32.0,0.73,73,empty
C7,PPMA,HHE,2021-01-31 08:14:51.42,2021-01-31 08:14:53.0,1.57,157,empty
C7,PPMA,HHE,2021-02-02 08:10:55.0,2021-02-02 08:10:55.21,-0.22,-22,overlap
C7,PPMA,HHE,2021-02-04 08:06:46.0,2021-02-04 08:06:47.0,0.99,99,empty
C7,PPMA,HHE,2021-02-06 08:05:22.0,2021-02-06 08:05:23.35,-1.36,-136,overlap
C7,PPMA,HHE,2021-02-08 08:11:21.99,2021-02-08 08:11:26.0,4.0,400,empty
C7,PPMA,HHE,2021-02-10 08:07:30.0,2021-02-10 08:07:33.69,-3.7,-370,overlap
C7,PPMA,HHE,2021-02-12 08:13:31.0,2021-02-12 08:13:31.10,-0.11,-11,overlap
C7,PPMA,HHE,2021-02-14 08:05:44.13,2021-02-14 08:05:45.0,0.86,86,empty
C7,PPMA,HHE,2021-02-16 08:11:54.0,2021-02-16 08:11:56.34,-2.35,-235,overlap
C7,PPMA,HHE,2021-02-18 08:07:51.83,2021-02-18 08:07:54.0,2.16,216,empty
C7,PPMA,HHE,2021-02-20 08:13:54.37,2021-02-20 08:13:56.0,1.62,162,empty
C7,PPMA,HHE,2021-02-22 08:10:01.0,2021-02-22 08:10:03.18,-2.19,-219,overlap
C7,PPMA,HHE,2021-02-24 08:06:07.0,2021-02-24 08:06:09.70,-2.71,-271,overlap
C7,PPMA,HHE,2021-02-26 08:14:24.24,2021-02-26 08:14:25.0,0.75,75,empty
C7,PPMA,HHE,2021-02-28 08:09:07.48,2021-02-28 08:09:09.0,1.51,151,empty
C7,PPMA,HHE,2021-03-02 08:05:16.0,2021-03-02 08:05:16.40,-0.41,-41,overlap
C7,PPMA,HHE,2021-03-04 08:10:38.36,2021-03-04 08:10:40.0,1.63,163,empty
C7,PPMA,HHE,2021-03-06 08:06:48.0,2021-03-06 08:06:48.63,-0.64,-64,overlap
C7,PPMA,HHE,2021-03-08 08:12:49.0,2021-03-08 08:12:50.13,-1.14,-114,overlap
C7,PPMA,HHE,2021-03-10 08:08:53.80,2021-03-10 08:08:55.0,1.91,191,empty
C7,PPMA,HHE,2021-03-12 08:05:30.93,2021-03-12 08:05:31.0,0.06,6,empty
C7,PPMA,HHE,2021-03-14 08:09:03.23,2021-03-14 08:09:06.0,2.76,276,empty
C7,PPMA,HHE,2021-03-16 08:05:10.59,2021-03-16 08:05:11.0,0.4,40,empty
C7,PPMA,HHE,2021-03-18 08:11:16.0,2021-03-18 08:11:16.12,-0.13,-13,overlap
C7,PPMA,HHE,2021-03-20 08:07:21.0,2021-03-20 08:07:23.39,-2.4,-240,overlap
C7,PPMA,HHE,2021-03-22 08:13:43.56,2021-03-22 08:13:46.0,2.43,243,empty
C7,PPMA,HHE,2021-03-22 09:46:29.90,2021-03-22 09:47:31.0,61.9,6190,empty
C7,PPMA,HHE,2021-03-30 11:31:28.34,2021-03-30 19:40:05.23,29316.88,2931688,empty
C7,PPMA,HHE,2021-04-13 12:10:17.47,2021-04-13 12:11:57.0,99.52,9952,empty
C7,PPMA,HHE,2021-04-27 23:02:25.41,2021-04-27 23:02:34.90,8.67,867,empty
C7,PPMA,HHE,2021-05-27 13:28:39.65,2021-05-27 13:28:45.28,5.62,562,empty
C7,PPMA,HHE,2021-06-07 08:01:22.87,2021-06-07 14:04:55.90,21813.02,2181302,empty
C7,PPMA,HHE,2021-08-29 12:31:49.48,2021-08-29 12:40:35.12,525.63,52563,empty
C7,PPMA,HHE,2021-09-28 03:54:20.82,2021-11-07 12:18:38.54,3486257.71,348625771,empty
C7,PPMA,HHE,2021-11-13 11:45:25.79,2021-11-17 10:18:38.0,340392.2,34039220,empty
C7,PPMA,HHE,2021-11-17 16:32:27.23,2021-11-17 16:34:00.0,92.76,9276,empty
C7,PPMA,HHE,2021-11-17 17:56:27.95,2021-11-18 10:03:31.0,58023.04,5802304,empty
C7,PPMA,HHE,2021-11-18 13:27:57.86,2021-11-19 11:08:55.0,78057.13,7805713,empty
C7,PPMA,HHE,2021-11-19 11:49:01.20,2021-11-19 11:55:23.0,381.79,38179,empty
C7,PPMA,HHE,2021-11-19 11:55:27.25,2021-11-19 12:01:33.0,365.74,36574,empty
C7,PPMA,HHE,2021-11-19 12:47:02.82,2021-11-19 14:08:39.0,4896.17,489617,empty
C7,PPMA,HHE,2021-11-19 14:09:17.87,2021-11-19 14:30:11.0,1253.12,125312,empty
C7,PPMA,HHE,2021-11-19 14:31:24.50,2021-11-19 14:37:47.0,382.49,38249,empty
C7,PPMA,HHE,2021-11-19 14:39:25.68,2021-11-19 14:43:58.31,272.62,27262,empty
C7,PPMA,HHE,2021-11-20 04:13:38.12,2021-11-20 08:39:46.0,15967.87,1596787,empty
C7,PPMA,HHE,2021-11-22 08:37:56.85,2021-11-22 10:25:39.0,6462.14,646214,empty
C7,PPMA,HHE,2021-11-23 17:09:21.47,2021-11-24 08:45:08.0,56146.52,5614652,empty
C7,PPMA,HHE,2021-11-24 15:57:35.80,2021-11-24 16:12:16.0,880.19,88019,empty
C7,PPMA,HHE,2021-11-24 16:36:39.42,2021-11-24 16:48:21.0,701.57,70157,empty
C7,PPMA,HHE,2021-11-24 17:01:57.30,2021-11-24 17:11:58.0,600.69,60069,empty
C7,PPMA,HHE,2021-11-24 17:35:37.33,2021-11-25 12:12:16.0,66998.66,6699866,empty
C7,PPMA,HHE,2021-11-25 12:25:51.46,2021-11-25 12:29:01.0,189.53,18953,empty
C7,PPMA,HHE,2021-11-25 13:03:27.36,2021-11-25 14:07:30.0,3842.63,384263,empty
C7,PPMA,HHE,2021-11-25 14:16:56.88,2021-11-25 14:43:38.0,1601.11,160111,empty
C7,PPMA,HHE,2021-11-25 14:43:56.21,2021-11-25 15:42:08.0,3491.78,349178,empty
C7,PPMA,HHE,2021-11-25 15:57:55.97,2021-11-26 08:43:09.0,60313.02,6031302,empty
C7,PPMA,HHE,2021-11-26 08:51:52.60,2021-11-26 08:58:19.0,386.93,38693,empty
C7,PPMA,HHE,2021-11-26 09:40:12.61,2021-11-26 13:55:13.0,15300.38,1530038,empty
C7,PPMA,HHE,2021-11-26 14:02:33.40,2021-11-26 14:07:38.0,304.95,30495,empty
C7,PPMA,HHE,2021-11-26 16:42:59.50,2021-11-26 16:52:28.0,568.94,56894,empty
C7,PPMA,HHE,2021-11-26 16:53:45.70,2021-11-27 08:52:39.0,57533.29,5753329,empty
C7,PPMA,HHE,2021-11-27 08:53:41.77,2021-11-27 09:01:01.0,439.22,43922,empty
C7,PPMA,HHE,2021-11-27 09:02:49.28,2021-11-27 09:07:55.0,305.71,30571,empty
C7,PPMA,HHE,2021-11-27 09:08:11.68,2021-11-27 09:23:04.0,892.31,89231,empty
C7,PPMA,HHE,2021-11-27 09:23:29.78,2021-11-27 09:32:26.0,536.21,53621,empty
C7,PPMA,HHE,2021-11-27 09:32:36.71,2021-11-27 09:32:47.0,10.28,1028,empty
C7,PPMA,HHE,2021-11-27 09:40:32.38,2021-11-27 09:49:34.0,541.61,54161,empty
C7,PPMA,HHE,2021-11-27 09:57:32.26,2021-11-27 09:59:48.0,135.73,13573,empty
C7,PPMA,HHE,2021-11-27 11:10:20.15,2021-11-27 11:11:22.0,61.84,6184,empty
C7,PPMA,HHE,2021-11-27 11:21:19.85,2021-11-27 11:23:04.0,104.14,10414,empty
C7,PPMA,HHE,2021-11-27 11:36:55.48,2021-11-27 11:38:17.0,81.51,8151,empty
C7,PPMA,HHE,2021-11-27 11:58:40.56,2021-11-27 12:11:55.0,794.43,79443,empty
C7,PPMA,HHE,2021-11-27 12:15:41.82,2021-11-27 12:19:47.0,245.17,24517,empty
C7,PPMA,HHE,2021-11-27 12:22:30.40,2021-12-06 12:49:46.0,779235.95,77923595,empty
C7,PPMA,HHE,2021-12-06 12:53:01.50,2021-12-06 12:58:04.55,303.49,30349,empty
C7,PPMA,HHE,2021-12-06 17:49:57.20,2021-12-07 09:35:37.0,56739.79,5673979,empty
C7,PPMA,HHE,2021-12-07 09:44:02.20,2021-12-07 09:57:17.0,794.97,79497,empty
C7,PPMA,HHE,2021-12-07 10:15:19.78,2021-12-07 10:27:19.0,719.21,71921,empty
C7,PPMA,HHE,2021-12-07 11:56:43.95,2021-12-07 12:13:26.0,1002.04,100204,empty
C7,PPMA,HHE,2021-12-07 17:53:25.67,2021-12-08 11:32:45.0,63559.32,6355932,empty
C7,PPMA,HHE,2021-12-08 11:57:03.16,2021-12-08 11:59:52.0,168.83,16883,empty
C7,PPMA,HHE,2021-12-08 12:02:55.18,2021-12-08 12:08:10.0,314.81,31481,empty
C7,PPMA,HHE,2021-12-08 12:08:16.40,2021-12-08 12:19:14.0,657.95,65795,empty
C7,PPMA,HHE,2021-12-08 12:22:19.86,2021-12-08 12:27:22.10,302.14,30214,empty
C7,PPMA,HHE,2021-12-08 12:29:05.14,2021-12-08 12:32:49.0,223.85,22385,empty
C7,PPMA,HHE,2021-12-08 12:36:22.35,2021-12-08 12:38:59.0,156.64,15664,empty
C7,PPMA,HHE,2021-12-08 14:24:06.21,2021-12-08 14:28:10.0,243.78,24378,empty
C7,PPMA,HHE,2021-12-08 14:31:12.54,2021-12-08 14:36:15.0,302.45,30245,empty
C7,PPMA,HHE,2021-12-08 14:59:43.70,2021-12-09 09:56:16.0,68192.29,6819229,empty
C7,PPMA,HHE,2021-12-09 10:00:57.39,2021-12-09 10:02:34.0,96.6,9660,empty
C7,PPMA,HHE,2021-12-09 10:08:16.95,2021-12-09 10:12:03.0,226.04,22604,empty
C7,PPMA,HHE,2021-12-09 10:13:48.90,2021-12-09 10:16:48.73,179.82,17982,empty
C7,PPMA,HHE,2021-12-09 10:56:33.81,2021-12-09 10:57:50.0,76.18,7618,empty
C7,PPMA,HHE,2021-12-09 16:30:21.18,2021-12-09 16:36:56.0,394.81,39481,empty
C7,PPMA,HHE,2021-12-09 16:49:52.87,2021-12-09 16:56:24.0,391.12,39112,empty
C7,PPMA,HHE,2021-12-09 16:58:35.60,2021-12-10 10:04:55.92,61580.85,6158085,empty
C7,PPMA,HHE,2021-12-10 10:11:59.0,2021-12-10 10:13:04.0,64.99,6499,empty
C7,PPMA,HHE,2021-12-10 11:01:37.71,2021-12-10 11:02:44.0,66.28,6628,empty
C7,PPMA,HHE,2021-12-10 17:56:37.84,2021-12-11 10:17:52.0,58874.15,5887415,empty
C7,PPMA,HHE,2021-12-11 10:18:01.62,2021-12-11 10:18:08.0,6.37,637,empty
C7,PPMA,HHN,2021-09-06 11:53:10.42,2021-09-06 14:07:02.69,8032.26,803226,empty
C7,PPMA,HHN,2021-09-10 22:33:39.82,2021-09-11 23:37:36.72,90236.89,9023689,empty
C7,PPMA,HHN,2021-09-21 10:27:30.0,2021-09-21 10:27:31.39,-1.4,-140,overlap
C7,PPMA,HHN,2021-01-11 08:13:31.11,2021-01-11 08:13:34.0,2.88,288,empty
C7,PPMA,HHN,2021-01-12 21:09:00.84,2021-01-12 21:09:03.0,2.15,215,empty
C7,PPMA,HHN,2021-01-15 08:06:03.72,2021-01-15 08:06:04.0,0.27,27,empty
C7,PPMA,HHN,2021-01-17 08:06:55.76,2021-01-17 09:07:13.16,3617.39,361739,empty
C7,PPMA,HHN,2021-01-19 08:08:07.74,2021-01-19 08:08:09.0,1.25,125,empty
C7,PPMA,HHN,2021-01-21 08:14:08.39,2021-01-21 08:14:11.0,2.6,260,empty
C7,PPMA,HHN,2021-01-23 08:11:08.89,2021-01-23 08:11:11.0,2.1,210,empty
C7,PPMA,HHN,2021-01-25 08:06:17.12,2021-01-25 08:06:20.0,2.87,287,empty
C7,PPMA,HHN,2021-01-27 08:12:24.78,2021-01-27 08:12:27.0,2.21,221,empty
C7,PPMA,HHN,2021-01-29 08:08:29.11,2021-01-29 08:08:32.0,2.88,288,empty
C7,PPMA,HHN,2021-01-31 08:14:51.32,2021-01-31 08:14:53.0,1.67,167,empty
C7,PPMA,HHN,2021-02-02 08:10:53.15,2021-02-02 08:10:55.0,1.84,184,empty
C7,PPMA,HHN,2021-02-04 08:06:45.93,2021-02-04 08:06:47.0,1.06,106,empty
C7,PPMA,HHN,2021-02-06 08:05:19.84,2021-02-06 08:05:22.0,2.15,215,empty
C7,PPMA,HHN,2021-02-08 08:11:22.67,2021-02-08 08:11:26.0,3.32,332,empty
C7,PPMA,HHN,2021-02-10 08:07:28.77,2021-02-10 08:07:30.0,1.22,122,empty
C7,PPMA,HHN,2021-02-12 08:13:28.66,2021-02-12 08:13:31.0,2.33,233,empty
C7,PPMA,HHN,2021-02-14 08:05:43.70,2021-02-14 08:05:45.0,1.92,192,empty
C7,PPMA,HHN,2021-02-16 08:11:51.27,2021-02-16 08:11:54.0,2.72,272,empty
C7,PPMA,HHN,2021-02-18 08:07:52.18,2021-02-18 08:07:54.0,1.81,181,empty
C7,PPMA,HHN,2021-02-20 08:13:56.0,2021-02-20 08:13:56.19,-0.2,-20,overlap
C7,PPMA,HHN,2021-02-22 08:09:59.21,2021-02-22 08:10:01.0,1.78,178,empty
C7,PPMA,HHN,2021-02-24 08:06:03.45,2021-02-24 08:06:07.0,3.54,354,empty
C7,PPMA,HHN,2021-02-26 08:14:21.86,2021-02-26 08:14:25.0,3.13,313,empty
C7,PPMA,HHN,2021-02-28 08:09:09.0,2021-02-28 08:09:09.23,-0.24,-24,overlap
C7,PPMA,HHN,2021-03-02 08:05:14.26,2021-03-02 08:05:16.0,1.73,173,empty
C7,PPMA,HHN,2021-03-04 08:10:38.91,2021-03-04 08:10:40.0,1.08,108,empty
C7,PPMA,HHN,2021-03-06 08:06:44.81,2021-03-06 08:06:48.0,3.18,318,empty
C7,PPMA,HHN,2021-03-08 08:12:48.62,2021-03-08 08:12:49.0,0.37,37,empty
C7,PPMA,HHN,2021-03-10 08:08:53.90,2021-03-10 08:08:55.0,1.9,190,empty
C7,PPMA,HHN,2021-03-12 08:05:29.41,2021-03-12 08:05:31.0,1.58,158,empty
C7,PPMA,HHN,2021-03-14 08:09:03.93,2021-03-14 08:09:06.0,2.06,206,empty
