name,network,station,type,n_windows,n_variables,n_components,D_threshold,Q_threshold,start_time,end_time,last_update_time
PPMA_d_2025-07-14,C7,PPMA,inactive,60480,1500,2,24.3766,4262592844214.596,2025-07-07T00:00:10Z,2025-07-14T00:00:00Z,2025-07-16T10:08:04Z
PSAB_d_2025-07-14,C7,PSAB,inactive,60480,1500,2,10.4134,3161462249603.716,2025-07-07T00:00:10Z,2025-07-14T00:00:00Z,2025-07-16T10:15:31Z
PPMA_d_2025-07-21,C7,PSAB,inactive,35760,1500,2,27.4735,8661609475623.228,2025-07-16T10:25:10Z,2025-07-21T00:00:00Z,2025-07-21T14:35:25Z
PSAB_d_2025-07-21,C7,PSAB,inactive,8250,1500,2,10.4534,2194203157232.6067,2025-07-20T14:50:10Z,2025-07-21T14:50:00Z,2025-07-21T14:55:51Z
PSAB_d_2025-07-22,C7,PPMA,inactive,8670,1500,2,15.35,4378890841487.094,2025-07-21T14:40:10Z,2025-07-22T14:40:00Z,2025-07-22T14:45:32Z
PPMA_d_2025-07-23,C7,PPMA,inactive,8790,1500,2,11.0301,2433905579426.0654,2025-07-22T14:50:10Z,2025-07-23T14:50:00Z,2025-07-23T14:55:22Z
PSAB_d_2025-07-24,C7,PSAB,inactive,8340,1500,2,10.6013,3044811898754.8125,2025-07-23T15:00:10Z,2025-07-24T15:00:00Z,2025-07-24T15:05:24Z
PSAB_d_2025-07-25,C7,PSAB,inactive,8730,1500,2,17.5936,4838503727476.565,2025-07-24T15:10:10Z,2025-07-25T15:10:00Z,2025-07-25T15:15:24Z
PSAB_d_2025-07-26,C7,PSAB,inactive,8310,1500,2,10.3787,4363711888650.5938,2025-07-25T15:20:10Z,2025-07-26T15:20:00Z,2025-07-26T15:25:24Z
PSAB_d_2025-07-27,C7,PSAB,inactive,8820,1500,2,5.6441,3294906130962.2646,2025-07-26T15:30:10Z,2025-07-27T15:30:00Z,2025-07-27T15:35:24Z
PSAB_d_2025-07-28,C7,PSAB,dynamic,12060,1500,2,16.2053,1108876720440.7917,2025-07-27T15:40:10Z,2025-07-28T15:40:00Z,2025-07-28T15:45:24Z
PPMA_d_2025-07-28,C7,PPMA,dynamic,12150,1500,2,26.1852,2010881526074.3953,2025-07-27T21:00:10Z,2025-07-28T21:00:00Z,2025-07-28T21:05:23Z
