code	start	end	description	latitude	longitude	elevation	place	country	affiliation
FMOR	2025-08-26 00:00:00	NULL	Morro Jable, Fuerteventura	28.083011	-14.365107	300	Morro Jable	 Fuerteventura	INVOLCAN
GART	2021-12-21 00:00:00	NULL	Artenara, Gran Canaria	27.850923	-15.568298	360	Artenara	 Gran Canaria	INVOLCAN
GGAL	2017-05-11 00:00:00	NULL	Galdar, Gran Canaria	28.1214	-15.6809	280	Galdar	 Gran Canaria	INVOLCAN
GSNT	2017-05-11 00:00:00	NULL	San Nicol.s de Tolentino, Gran Canaria	27.967	-15.7757	247	San Nicol.s de Tolentino	 Gran Canaria	INVOLCAN
GTEL	2021-12-26 00:00:00	NULL	Telde, Las Palmas de Gran Canaria	27.974167	-15.435778	280	Telde	 Las Palmas de Gran Canaria	INVOLCAN
HCAS	2020-07-14 00:00:00	NULL	El Cascajo, El Hierro	27.68295	-18.0113	456	El Cascajo	 El Hierro	INVOLCAN
HDES	2018-03-15 00:00:00	NULL	La Dehesa, El Hierro	27.72526	-18.11501	715	La Dehesa	 El Hierro	INVOLCAN
HERE	2019-11-04 00:00:00	NULL	Erese	27.8138	-17.97227	503	Erese		INVOLCAN
HISO	2020-07-13 00:00:00	NULL	Isora, El Hierro	27.76542	-17.95958	1071	Isora	 El Hierro	INVOLCAN
HJUL	2020-07-14 00:00:00	NULL	Julan, El Hierro	27.7288	-18.0531	1267	Julan	 El Hierro	INVOLCAN
HLLA	2018-10-04 00:00:00	NULL	La Dehesa, El Hierro	27.715403	-18.02006	1157	La Dehesa	 El Hierro	INVOLCAN
HRES	2019-11-04 00:00:00	NULL	La Restinga	27.642263	-17.982734	30	La Restinga		INVOLCAN
LDEG	2021-10-28 00:00:00	NULL	La Degollada, Yaiza	28.928416	-13.783065	365	La Degollada	 Yaiza	INVOLCAN
LGAL	2024-10-29 18:00:00	NULL	Montana de las Gallinas, Lanzarote	29.119998	-13.504747	470	Montana de las Gallinas	 Lanzarote	INVOLCAN
LTAO	2021-10-28 00:00:00	NULL	Tao, Teguise	29.037762	-13.615553	245	Tao	 Teguise	INVOLCAN
OCER	2021-12-07 00:00:00	NULL	Cercado, La Gomera	28.115457	-17.284111	1058	Cercado	 La Gomera	INVOLCAN
PBB2	2021-11-08 14:00:00	NULL	Montana de La Brena	28.640276	-17.783443	403	Montana de La Brena		INVOLCAN
PCOR	2021-03-03 00:00:00	NULL	Cortafuegos, La Palma	28.516991	-17.849912	1070	Cortafuegos	 La Palma	INVOLCAN
PGAR	2019-12-03 15:30:17	NULL	Garafia, La Palma	28.822889	-17.94725	451	Garafia	 La Palma	INVOLCAN
PLPI	2017-10-11 00:00:00	NULL	Llano del Pino, La Palma	28.5722	-17.8654	1015	Llano del Pino	 La Palma	INVOLCAN
PML2	2022-03-15 16:00:00	NULL	Monte de Luna, La Palma	28.534814	-17.815279	721	Monte de Luna	 La Palma	INVOLCAN
PPAS	2021-10-10 00:00:00	NULL	El Paso, La Palma	28.643318	-17.854558	876	El Paso	 La Palma	INVOLCAN
PPMA	2017-10-11 00:00:00	NULL	Las Manchas, La Palma	28.6052	-17.8738	736	Las Manchas	 La Palma	INVOLCAN
PSAB	2021-09-19 00:00:00	NULL	La Sabina	28.58605	-17.79652	849	La Sabina		INVOLCAN
PTAB	2021-01-28 00:00:00	NULL	Taburiente, La Palma	28.6914	-17.90522	310	Taburiente	 La Palma	INVOLCAN
TAFO	2016-11-04 00:00:00	NULL	Arafo, Tenerife	28.3566	-16.4263	768	Arafo	 Tenerife	INVOLCAN
TANA	2016-11-08 00:00:00	NULL	Anaga,Tenerife	28.488853	-16.2616	339	Anaga	Tenerife	INVOLCAN
TARO	2016-10-29 00:00:00	NULL	Arona, Tenerife	28.0486	-16.6717	114	Arona	 Tenerife	INVOLCAN
TC13	2022-03-11 00:00:00	NULL	El Paso, La Palma	28.621139	-17.870193	797	El Paso	 La Palma	INVOLCAN
TCHA	2016-11-08 00:00:00	NULL	Chavao, Tenerife	28.2198	-16.7054	2073	Chavao	 Tenerife	INVOLCAN
TCHI	2016-10-28 00:00:00	NULL	Chimiche, Tenerife	28.1295	-16.5302	408	Chimiche	 Tenerife	INVOLCAN
TESP	2016-11-04 00:00:00	NULL	La Esperanza, Tenerife	28.4199	-16.4124	1398	La Esperanza	 Tenerife	INVOLCAN
TFAS	2016-11-08 00:00:00	NULL	Fasnia, Tenerife	28.2368	-16.4391	434	Fasnia	 Tenerife	INVOLCAN
TFOR	2018-06-01 00:00:00	NULL	Mirador de la Fortaleza, Tenerife	28.274576	-16.639111	3524	Mirador de la Fortaleza	 Tenerife	INVOLCAN
TGUI	2016-11-08 00:00:00	NULL	Guia de Isora, Tenerife	28.1737	-16.7748	355	Guia de Isora	 Tenerife	INVOLCAN
TIFO	2019-01-14 00:00:00	NULL	Ifonche, Tenerife	28.177515	-16.678273	1777	Ifonche	 Tenerife	INVOLCAN
TNOR	2016-11-03 00:00:00	NULL	Cara norte del Teide, Tenerife	28.2902	-16.6807	2002	Cara norte del Teide	 Tenerife	INVOLCAN
TNTE	2018-07-25 00:00:00	NULL	Valle de Chafari, Tenerife	28.23688	-16.67038	2240	Valle de Chafari	 Tenerife	INVOLCAN
TPIC	2018-06-02 00:00:00	NULL	Pico Cabras, Tenerife	28.3147	-16.6407	1657	Pico Cabras	 Tenerife	INVOLCAN
TSAN	2018-07-25 00:00:00	NULL	Sanatorio, Tenerife	28.23386	-16.60769	2217	Sanatorio	 Tenerife	INVOLCAN
TSIS	2016-10-28 00:00:00	NULL	San Isidro, Tenerife	28.0697	-16.5922	250	San Isidro	 Tenerife	INVOLCAN
TSJR	2016-11-03 00:00:00	NULL	San Juan de la Rambla, Tenerife	28.3283	-16.6113	1709	San Juan de la Rambla	 Tenerife	INVOLCAN
TSTE	2016-06-07 00:00:00	NULL	Santiago del Teide, Tenerife	28.3102	-16.7983	1061	Santiago del Teide	 Tenerife	INVOLCAN
TTEL	2021-05-06 13:00:00	NULL	TF01, Tenerife	28.27	-16.6398	3554	TF01	 Tenerife	INVOLCAN
TVIL	2016-11-08 00:00:00	NULL	Vilaflor, Tenerife	28.1592	-16.6425	1489	Vilaflor	 Tenerife	INVOLCAN
