sensor,channel,year,month,day,hour,minute,second,path,filename
DAS,,2021,11,20,0,0,37,data/DAS/2021/11/20,2021_11_20_00h00m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,1,37,data/DAS/2021/11/20,2021_11_20_00h01m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,2,37,data/DAS/2021/11/20,2021_11_20_00h02m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,3,37,data/DAS/2021/11/20,2021_11_20_00h03m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,4,37,data/DAS/2021/11/20,2021_11_20_00h04m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,5,37,data/DAS/2021/11/20,2021_11_20_00h05m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,6,37,data/DAS/2021/11/20,2021_11_20_00h06m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,7,37,data/DAS/2021/11/20,2021_11_20_00h07m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,8,37,data/DAS/2021/11/20,2021_11_20_00h08m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,9,37,data/DAS/2021/11/20,2021_11_20_00h09m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,10,37,data/DAS/2021/11/20,2021_11_20_00h10m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,11,37,data/DAS/2021/11/20,2021_11_20_00h11m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,12,37,data/DAS/2021/11/20,2021_11_20_00h12m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,13,37,data/DAS/2021/11/20,2021_11_20_00h13m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,14,37,data/DAS/2021/11/20,2021_11_20_00h14m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,15,37,data/DAS/2021/11/20,2021_11_20_00h15m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,16,37,data/DAS/2021/11/20,2021_11_20_00h16m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,17,37,data/DAS/2021/11/20,2021_11_20_00h17m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,18,37,data/DAS/2021/11/20,2021_11_20_00h18m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,19,37,data/DAS/2021/11/20,2021_11_20_00h19m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,20,37,data/DAS/2021/11/20,2021_11_20_00h20m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,21,37,data/DAS/2021/11/20,2021_11_20_00h21m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,22,37,data/DAS/2021/11/20,2021_11_20_00h22m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,23,37,data/DAS/2021/11/20,2021_11_20_00h23m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,24,37,data/DAS/2021/11/20,2021_11_20_00h24m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,25,37,data/DAS/2021/11/20,2021_11_20_00h25m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,26,37,data/DAS/2021/11/20,2021_11_20_00h26m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,27,37,data/DAS/2021/11/20,2021_11_20_00h27m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,28,37,data/DAS/2021/11/20,2021_11_20_00h28m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,29,37,data/DAS/2021/11/20,2021_11_20_00h29m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,30,37,data/DAS/2021/11/20,2021_11_20_00h30m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,31,37,data/DAS/2021/11/20,2021_11_20_00h31m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,32,37,data/DAS/2021/11/20,2021_11_20_00h32m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,33,37,data/DAS/2021/11/20,2021_11_20_00h33m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,34,37,data/DAS/2021/11/20,2021_11_20_00h34m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,35,37,data/DAS/2021/11/20,2021_11_20_00h35m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,36,37,data/DAS/2021/11/20,2021_11_20_00h36m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,37,37,data/DAS/2021/11/20,2021_11_20_00h37m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,38,37,data/DAS/2021/11/20,2021_11_20_00h38m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,39,37,data/DAS/2021/11/20,2021_11_20_00h39m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,40,37,data/DAS/2021/11/20,2021_11_20_00h40m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,41,37,data/DAS/2021/11/20,2021_11_20_00h41m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,42,37,data/DAS/2021/11/20,2021_11_20_00h42m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,43,37,data/DAS/2021/11/20,2021_11_20_00h43m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,44,37,data/DAS/2021/11/20,2021_11_20_00h44m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,45,37,data/DAS/2021/11/20,2021_11_20_00h45m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,46,37,data/DAS/2021/11/20,2021_11_20_00h46m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,47,37,data/DAS/2021/11/20,2021_11_20_00h47m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,48,37,data/DAS/2021/11/20,2021_11_20_00h48m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,49,37,data/DAS/2021/11/20,2021_11_20_00h49m37s_HDAS_2Dmap_Strain.bin
DAS,,2021,11,20,0,50,37,data/DAS/2021/11/20,2021_11_20_00h50m37s_HDAS_2Dmap_Strain.bin
